receipt_id,source_image,merchant,receipt_date,receipt_number,subtotal,discount,tax,total,payment_method,item_count,ocr_confidence,extraction_confidence,warning_count
8,8.jpg,COSTCO,,,85.61,,8.5,3.52,,0,0.985,0.713,2
9,9.jpg,WinCo,09/08/14,,121.92,,,121.92,,24,0.996,0.858,0
X00016469612,X00016469612.jpg,tan woon yann,25/12/2018,,,,,9.0,CASH,0,0.965,0.729,1
X00016469619,X00016469619.jpg,tan woon yann,19/10/2018,,,,,60.31,CASH,0,0.99,0.74,1
X00016469620,X00016469620.jpg,tan woon yann,12-01-19,,,,,33.9,CASH,5,0.985,0.823,0
X00016469622,X00016469622.jpg,tan woon yann,25/12/2018,,,,80.91,80.91,CASH,0,0.98,0.786,1
X00016469623,X00016469623.jpg,tan woon yann,18-11-18,,,,,30.9,CASH,5,0.966,0.815,0
X00016469669,X00016469669.jpg,tan chay yee,09/01/2019,,,,,31.0,CASH,0,0.992,0.741,1
X00016469670,X00016469670.jpg,tan chay yee,15/01/2019,PEGIV-1030765,,,193.0,193.0,VISA,1,0.988,0.925,0
X00016469671,X00016469671.jpg,tan chay yee,02/01/2019,,,0.0,,170.0,VISA,0,0.995,0.743,1
X00016469672,X00016469672.jpg,tan chay yee,11/01/2019,,,0.0,,327.0,CASH,0,0.997,0.744,1
X00016469676,X00016469676.jpg,tan chay yee,23-01-2019,22497,20.0,,,20.0,CASH,0,0.989,0.86,1
X51005200931,X51005200931.jpg,PERNIAGAAN ZHENG HUI,09/02/2018,,411.5,,411.5,411.5,CASH,0,0.974,0.853,1
X51005200938,X51005200938.jpg,PERNIAGAAN ZHENG HUI,12/02/2018,,106.1,0.0,106.1,106.1,CASH,0,0.974,0.853,1
X51005230605,X51005230605.jpg,PETRON BKT LANJAN SB,01/02/2018,19729058,,,6.0,4.9,CASH,0,0.995,0.843,1
X51005230616,X51005230616.jpg,Gerbang Alaf Restaurants Sdn Bhd,18/01/2018,,,,38.9,2.2,CASH,0,0.995,0.793,1
X51005230617,X51005230617.jpg,per,18/01/2018,,,,26.6,1.51,CASH,0,0.984,0.788,1
X51005230621,X51005230621.jpg,SIN LIANHAP SDN BHD,05/02/2018,,7.3,,6.69,7.3,CASH,0,0.967,0.85,1
X51005230648,X51005230648.jpg,CROSS CHANNEL NETWORK SDN. BHD.,29/01/2018,,,,6.36,6.0,,1,0.99,0.835,0
X51005230657,X51005230657.jpg,CROSS CHANNEL NETWORK SDN. BHD,31/12/2017,,,,7.95,7.5,,4,0.99,0.836,0
X51005230659,X51005230659.jpg,SWC ENTERPRISE SDN BHD,08/01/2018,,,,,0.45,CASH,0,0.988,0.74,1
X51005255805,X51005255805.jpg,SAM SAM TRADING CO,29-12-2017,,,,13.3,14.1,CASH,4,0.987,0.874,0
X51005268200,X51005268200.jpg,AIK HUAT HARDWAKE,15/06/2017,CSP0393921,,,15.0,15.0,CASH,0,0.987,0.839,1
X51005268262,X51005268262.jpg,HOME MASTER HARDWARE &,22/12/2017,TQM,15.9,,15.0,15.9,,0,0.982,0.867,1
X51005268275,X51005268275.jpg,LIGHTROOM GALLERY SDN BHD,20/11/2017,,263.02,,263.02,263.02,CREDIT CARD,6,0.993,0.947,0
X51005268400,X51005268400.jpg,RESTORAN HASSANBISTRO,2-1-1,,15.0,0.0,15.0,15.0,CASH,1,0.957,0.931,0
X51005268408,X51005268408.jpg,99 SPEED MART S/B (S19537-X),20-11-17,10222/102/TO341,,,9.61,,CASH,0,0.977,0.71,2
X51005268472,X51005268472.jpg,ASIA MART,22/12/2017,,,0.0,31.03,0.0,CASH,0,0.99,0.791,1
X51005288570,X51005288570.jpg,SECURE PARKING,23.03.18,Number,,,0.06,,CASH,0,0.993,0.717,2
X51005301659,X51005301659.jpg,HOME MASTER HARDWARE &,22/12/2017,TQM,15.9,,15.0,15.9,,0,0.982,0.867,1
X51005301661,X51005301661.jpg,LIGHTROOM GALLERY SDN BHD,20/12/2017,,68.87,,4.13,73.0,CASH,4,0.99,0.945,0
X51005301666,X51005301666.jpg,LIGHTROOM GALLERY SDN BHD,20/11/2017,,263.02,,263.02,263.02,CREDIT CARD,6,0.993,0.947,0
X51005301667,X51005301667.jpg,LIGHTROOM GALLERY SDN BHD,20/11/2017,,,,2.25,39.8,CREDIT CARD,2,0.993,0.877,0
X51005303661,X51005303661.jpg,LIGHTROOM GALLERY SDN BHD,20/12/2017,,68.87,,4.13,73.0,CASH,4,0.99,0.945,0
X51005306399,X51005306399.jpg,Shell ISNI PETRO TRADING,18/03/18,60000053668,,,6.0,86.0,VISA,1,0.99,0.926,0
X51005337867,X51005337867.jpg,SY LEE.,22 Mar 18,,25.94,,1.71,30.25,,1,0.986,0.904,0
X51005337872,X51005337872.jpg,Rsk.,06/03/2018,,,0.0,51.42,54.5,,0,0.992,0.751,1
X51005337877,X51005337877.jpg,7e4f P,20/03/2018,,,10.0,3.0,53.0,,8,0.989,0.835,0
X51005361883,X51005361883.jpg,TEO HENG STATIONERY & BOOKS,18/01/2018,,,,0.28,4.6,CASH,0,0.994,0.792,1
X51005361895,X51005361895.jpg,FUYIMINLMARKET,25/01/2018,,,,0.51,1.0,CASH,1,0.991,0.876,0
X51005361897,X51005361897.jpg,TEO HENG STATIONERY & BOOKS,17/01/2018,,,,1.56,26.0,CASH,0,0.994,0.792,1
X51005361898,X51005361898.jpg,TED HENG STATIONERY & BOOKS,15/01/2018,,,,3.12,52.0,CASH,0,0.993,0.792,1
X51005361900,X51005361900.jpg,TEO HENG STATIONERY & BOOKS,23/01/2018,,,,0.0,1.02,CASH,0,0.993,0.792,1
X51005361906,X51005361906.jpg,TEO HENG STATIONERY S BOOKS,27/01/2018,,,,0.0,25.8,CASH,0,0.992,0.791,1
X51005361907,X51005361907.jpg,TED HENG STATIONERY & BOOKS,12/02/2018,,,,8.68,144.68,CASH,0,0.983,0.787,1
X51005361908,X51005361908.jpg,TEO HENG STATIONERY S BOOKS,15/03/2018,,,,7.2,120.0,CASH,0,0.984,0.788,1
X51005361912,X51005361912.jpg,TEO HENG STATIONERY & BOOKS,29/01/2018,,,,0.06,1.0,CASH,0,0.994,0.792,1
X51005361923,X51005361923.jpg,SWC ENTERPRISE SDN BHD,02/01/2018,,,,0.24,4.2,CASH,0,0.969,0.781,1
X51005361946,X51005361946.jpg,PAID,14-03-18,,,,37.1,37.1,CASH,3,0.978,0.87,0
X51005361950,X51005361950.jpg,PAID,24-01-18,18287/102/T0049,,,2.5,2.5,CASH,0,0.984,0.838,1
X51005365179,X51005365179.jpg,C W KHOO HARDWARE SDN BHD,01-03-18,,,,1.2,21.2,CASH,1,0.993,0.877,0
X51005365187,X51005365187.jpg,F&P PHARMACY,02/03/2018,,,0.0,30.68,30.68,CASH,0,0.986,0.789,1
X51005433492,X51005433492.jpg,UNIHAKKA INTERNATIONAL SDN BHD,05 Mar 2018,OR18030502160349,,,0.46,8.2,CASH,0,0.988,0.839,1
X51005433494,X51005433494.jpg,AEON CO. (M) BHD (126926-H),06/03/2018,2018030610100080498,,,75.0,70.75,CASH,0,0.986,0.839,1
X51005433514,X51005433514.jpg,UNIHAKKA INTERNATIONAL SDN BHD,03 Mar 2018,OR18030302170430,,,0.46,8.2,CASH,0,0.992,0.841,1
X51005433518,X51005433518.jpg,UNIHAKKA INTERNATIONAL SDN BHD,07 Mar 2018,OR18030702170417,,,8.2,8.2,CASH,0,0.992,0.841,1
X51005433522,X51005433522.jpg,UNIHAKKA INTERNATIONAL SDN BHD,10 Mar 2018,OR18031002160274,,,0.46,8.2,CASH,0,0.986,0.839,1
X51005433533,X51005433533.jpg,PERNIAGAAN ZHENG HUI,09/03/2018,CS00084670,313.5,,313.5,313.5,CASH,0,0.981,0.906,1
X51005433538,X51005433538.jpg,UNIHAKKA INTERNATIONAL SDN BHD,12 Mar 2018,OR18031202170432,,,0.46,8.2,CASH,0,0.991,0.841,1
X51005433541,X51005433541.jpg,UNIHAKKA INTERNATIONAL SDN BHD,14 Mar 2018,OR18031402160311,,,0.46,8.2,CASH,0,0.989,0.84,1
X51005433543,X51005433543.jpg,UNIHAKKA INTERNATIONAL SDN BHD,13 Mar 2018,OR18031302170441,,,0.46,8.2,CASH,0,0.988,0.84,1
X51005433548,X51005433548.jpg,- PASAR MINI JIN SENG,03/03/18,,33.8,,0.77,,CASH,3,0.99,0.821,1
X51005433552,X51005433552.jpg,WARAKUYA PERMAS CITY SDN BHD,10/03/2018,,79.6,30.0,3.27,57.8,,1,0.982,0.902,0
X51005433553,X51005433553.jpg,YHM Aeon Tebrau City,11/03/2018,,13.1,,12.36,12.36,CASH,3,0.99,0.946,0
X51005433556,X51005433556.jpg,YHM Aeon Tebrau City,11/03/2018,,49.7,,46.9,46.9,CASH,5,0.988,0.945,0
X51005441398,X51005441398.jpg,BREWERY TAP,30/03/2018,LOGIN,179.0,,10.74,189.75,,4,0.975,0.949,0
X51005441401,X51005441401.jpg,THREE STOOGES,12/03/2018,00012916,295.0,,19.47,295.0,,0,0.982,0.867,1
X51005441402,X51005441402.jpg,THREE STOOGES,03/03/2018,,150.0,,174.9,200.0,CASH,0,0.988,0.859,1
X51005441407,X51005441407.jpg,Geoventure,5/3/2018,581355,,,5.83,64.15,CASH,6,0.982,0.922,0
X51005441408,X51005441408.jpg,32 PUB & BISTRO own by CNU TRADING,10-03-2018,,,,179.25,190.0,CASH,1,0.985,0.873,0
X51005442322,X51005442322.jpg,RESTAURANT,03 Mar 18,With,231.06,,254.17,269.4,,0,0.982,0.867,1
X51005442327,X51005442327.jpg,UNIHAKKA INTERNATIONAL SDN BHD,18 Mar 2018,OR18031802170364,,,0.49,8.6,CASH,0,0.977,0.834,1
X51005442333,X51005442333.jpg,UNIHAKKA INTERNATIONAL SDN BHD,27 Mar 2018,OR18032702170334,,,0.39,6.9,CASH,0,0.985,0.838,1
X51005442334,X51005442334.jpg,UNIHAKKA INTERNATIONAL SDN BHD,26 Mar 2018,OR18032602170324,,,0.46,8.2,CASH,0,0.986,0.839,1
X51005442338,X51005442338.jpg,PASAR MINI JIN SENG,18/03/18,,28.6,,0.07,,CASH,7,0.975,0.814,1
X51005442341,X51005442341.jpg,"K3-113, JL IBRAHIM SULTAN",09/03/2018,,,,,,CASH,2,0.987,0.699,1
X51005442343,X51005442343.jpg,YONG TAT HARDWARE TRADING,13/03/2018,,,0.0,67.92,67.92,CASH,1,0.974,0.868,0
X51005442344,X51005442344.jpg,YONG TAT HARDWARE TRADING,13/03/2018,,,0.0,95.17,101.0,CASH,2,0.976,0.869,0
X51005442346,X51005442346.jpg,PERNIAGAAN ZHENG HUI,15/03/2018,,7.55,0.0,7.55,7.55,CASH,0,0.977,0.855,1
X51005442361,X51005442361.jpg,Morganfield's,2018-03-23,000039121,,,33.57,593.1,,5,0.976,0.879,0
X51005442366,X51005442366.jpg,Triple Six Point Enterprise 666,22-03-2018,REC-0014888,,0.3,,22.6,CASH,0,0.994,0.792,1
X51005442375,X51005442375.jpg,UNIHAKKA INTERNATIONAL SDN BHD,25 Mar 2018,OR18032502170439,,,0.48,8.5,CASH,0,0.988,0.84,1
X51005442376,X51005442376.jpg,UNIHAKKA INTERNATIONAL SDN BHD,22 Mar 2018,OR18032202170428,,,0.43,7.6,CASH,0,0.992,0.841,1
X51005442378,X51005442378.jpg,TQFOR SHOPPING WITH myNEWS.com,23/03/2018,,10.0,,0.0,10.0,CASH,3,0.987,0.944,0
X51005442379,X51005442379.jpg,UNIHAKKA INTERNATIONAL SDN BHD,24 Mar 2018,OR18032402170368,,,0.52,9.2,CASH,0,0.986,0.839,1
X51005442382,X51005442382.jpg,UNIHAKKA INTERNATIONAL SDN BHD,20 Mar 2018,OR18032002170471,,,0.37,6.6,CASH,0,0.987,0.839,1
X51005442383,X51005442383.jpg,CARREFOUR RESTAURANT,20/03/201,,,,0.78,0.0,CASH,1,0.993,0.877,0
X51005442384,X51005442384.jpg,UNIHAKKA INTERNATIONAL SDN BHD,19 Mar 2018,OR18031902160324,,,0.46,8.2,CASH,0,0.989,0.84,1
X51005442386,X51005442386.jpg,UNIHAKKA INTERNATIONAL SDN BHD,21 Mar 2018,OR18032102170360,,,0.49,8.7,CASH,0,0.988,0.84,1
X51005442388,X51005442388.jpg,CONTENTO (JM0761170-K),20/03/18,,,,,21.6,CASH,8,0.968,0.816,0
X51005442392,X51005442392.jpg,UNIHAKKA INTERNATIONAL SDN BHD,29 Mar 2018,OR18032902170347,,,0.4,7.1,CASH,0,0.987,0.839,1
X51005442394,X51005442394.jpg,UNIHAKKA INTERNATIONAL SDN BHD,30 Mar 2018,OR18033002170384,,,0.46,8.2,,0,0.968,0.791,1
X51005442397,X51005442397.jpg,Triple Six Point Enterprise 666,25-03-2018,REC-0015016,,1.0,,7.6,CASH,0,0.993,0.792,1
X51005444033,X51005444033.jpg,B.I.G.,12/03/18,BAT02201803120255,,,77.2,77.2,CASH,0,0.987,0.839,1
X51005444037,X51005444037.jpg,Nando's,1300-88-6555,,129.3,,122.0,129.3,,1,0.993,0.907,0
X51005444040,X51005444040.jpg,B.I.G.,09/03/18,BAT01201803090220,,,133.7,133.7,CASH,0,0.986,0.839,1
X51005444041,X51005444041.jpg,B.I.G.,08/03/18,BAT01201803080169,,,81.0,81.0,DEBIT CARD,0,0.989,0.84,1
X51005444044,X51005444044.jpg,99 SPEED MART S/B (519537-X),10-03-18,for,,,5.35,,CASH,0,0.989,0.715,2
X51005444045,X51005444045.jpg,99 SPEED MART S/B (519537-X),19-03-18,18341/103/T0138,,,11.4,11.4,CASH,0,0.984,0.838,1
X51005444046,X51005444046.jpg,STAR GROCER SDN BHD (1171881-W),25/03/18,DSP05201803250022,,,66.17,66.15,CASH,0,0.983,0.838,1
X51005447832,X51005447832.jpg,PETRODELI ENTERPRISE,26/02/18,60000152273,,,39.42,85.54,VISA,1,0.985,0.923,0
X51005447833,X51005447833.jpg,SUN WONG KUT SDN BHD,21/02/18,60000483942,,,39.54,88.17,VISA,1,0.982,0.922,0
X51005447839,X51005447839.jpg,RESTAURANT JIAWEI,9/3/2018,9820,65.2,65.2,,65.2,,2,0.973,0.898,0
X51005447840,X51005447840.jpg,PASARAYA BORONG PINTAR,,,,,8.2,4.0,CASH,2,0.992,0.771,1
X51005447841,X51005447841.jpg,PASARAYA BORONG PINTAR,09/03/2018,,,,10.4,4.0,CASH,3,0.993,0.877,0
X51005447842,X51005447842.jpg,PASARAYA BORONG PINTAR,14/03/2018,,,,0.9,1.0,CASH,0,0.992,0.791,1
X51005447844,X51005447844.jpg,RESTAURANT JIAWEI,23/2/2018,8884,110.0,,,110.0,,2,0.984,0.903,0
X51005447848,X51005447848.jpg,LIAN CHI PU TIAN VEGETARIAN,06/01/18,,,,2.87,,,0,0.989,0.625,2
X51005447850,X51005447850.jpg,PASARAYA BORONG PINTAR,,,,,3.2,1.0,CASH,1,0.994,0.772,1
X51005447851,X51005447851.jpg,PASARAYA BORONG PINTAR,,,,,1.7,1.7,CASH,2,0.988,0.77,1
X51005447852,X51005447852.jpg,99 SPEED MART S/B (519537-X),20-02-18,18314/102/T0422,,,9.9,9.9,CASH,0,0.991,0.841,1
X51005447853,X51005447853.jpg,99 SPEED MART S/D (519537·X),,for,,,141.5,141.5,CASH,2,0.981,0.816,1
X51005447859,X51005447859.jpg,PASARAYA BORONG PINTAR,,,,,1.45,1.0,CASH,1,0.991,0.771,1
X51005447860,X51005447860.jpg,AEON CO. (M) BHD (126926-H),19/02/2018,2018021951320026157,,,17.7,16.71,CASH,0,0.99,0.841,1
X51005447861,X51005447861.jpg,POPULAR BOOK,01/03/18,114793,,1.2,49.39,3.29,CASH,1,0.991,0.926,0
X51005453729,X51005453729.jpg,LIAN HING STATIONERY SDN BHD,27/03/2018,,,,79.5,75.0,,0,0.987,0.749,1
X51005453801,X51005453801.jpg,GL HANDICRAFT & TAILORING,20/03/2018,,102.0,,96.23,102.0,,1,0.953,0.889,0
X51005453802,X51005453802.jpg,CHECKED,30/03/2018,,,,159.0,150.0,,0,0.987,0.749,1
X51005453804,X51005453804.jpg,LJAN HING STATIONERY SDN BHD,27/03/2018,,,,12.0,11.32,,0,0.988,0.749,1
X51005568827,X51005568827.jpg,Banh Mi CafE,29-10-2017,,,,21.3,23.25,,2,0.996,0.838,0
X51005568829,X51005568829.jpg,THAI DELICIOUS RESTAURANT,02/02/2017,,,,,92.8,CASH,0,0.969,0.731,1
X51005568855,X51005568855.jpg,POPULAR BOOK,23/12/17,309782,,0.42,140.65,28.35,MASTERCARD,0,0.99,0.84,1
X51005568866,X51005568866.jpg,POPULAR BOOK,25 AUG,304168,,0.56,5.04,0.56,CASH,1,0.968,0.915,0
X51005568880,X51005568880.jpg,MR.D.I.Y(M)SDN BHD,04-06-5,,,,15.9,15.9,CASH,3,0.987,0.874,0
X51005568881,X51005568881.jpg,HON HWA HARDWARE TRADING,21/09/2017,,,0.0,10.4,9.81,CASH,2,0.99,0.876,0
X51005568884,X51005568884.jpg,MR. D.I.Y. SDN BHD,24-11-17,,,,3.9,3.9,CASH,3,0.988,0.874,0
X51005568885,X51005568885.jpg,EVERGREEN LIGHT SDN BHD,10/07/2017,,,,56.0,56.0,CASH,0,0.986,0.789,1
X51005568887,X51005568887.jpg,HON HWA HARDWARE TRADING,20/04/2017,,,0.0,7.2,6.79,CASH,1,0.977,0.87,0
X51005568889,X51005568889.jpg,HON HWA HARDWARE TRADING,,,,0.0,,18.49,CASH,3,0.99,0.72,1
X51005568890,X51005568890.jpg,HON HWA HARDWARE TRADING,05/01/2017,,,,5.0,4.72,CASH,1,0.985,0.873,0
X51005568891,X51005568891.jpg,HON HWA HARDWARE TRADING,08/02/2017,,,0.0,277.0,261.32,CASH,10,0.986,0.874,0
X51005568892,X51005568892.jpg,EVERGREEN LIGHT SDN BHD,18/09/2017,,,,1.47,26.0,CASH,0,0.98,0.786,1
X51005568894,X51005568894.jpg,VIVOPAC MARKETING SDN BHD (1070687-M),17/01/2017,must,,,44.0,46.65,CASH,2,0.982,0.922,0
X51005568895,X51005568895.jpg,VIVOPAC MARKETING SDN BHD(1070687-M),13/09/2017,must,49.5,,49.5,52.45,CASH,3,0.99,0.995,0
X51005568898,X51005568898.jpg,VIVOPAC MARKETING SDN BHD (1070687-M),30/05/2017,must,17.75,,17.75,18.8,CASH,3,0.99,0.995,0
X51005568899,X51005568899.jpg,MR. D.I.Y. SDN BHD,18-10-17,,,,5.9,5.9,CASH,1,0.989,0.875,0
X51005568900,X51005568900.jpg,MR. D.I.Y. SDN BHD,28-12-17,,,,9.9,9.9,CASH,2,0.99,0.876,0
X51005568911,X51005568911.jpg,MR. D.I.Y. (KUCHAI) SDN BHD,41-71-10,,,,37.8,37.8,CASH,2,0.986,0.874,0
X51005568913,X51005568913.jpg,IKANO HANDEL SDN BHD,27/07/17,311136194,,,538.0,538.0,VISA,2,0.992,0.927,0
X51005568914,X51005568914.jpg,IKANO HANDEL SDN BHD,09/08/17,311140123,,,99.8,99.8,MASTERCARD,3,0.99,0.926,0
X51005577191,X51005577191.jpg,FY EAGLE ENTERPRISE,07/12/2017,CS00031383,,,0.57,0.57,CASH,0,0.983,0.837,1
X51005577192,X51005577192.jpg,FY EAGLE ENTERPRISE,,CS0003118O,,,0.4,0.4,CASH,0,0.965,0.724,2
X51005582745,X51005582745.jpg,MODERN DEPOT,04/12/2016,CS00090733,,,8.49,8.49,CASH,0,0.978,0.835,1
X51005587254,X51005587254.jpg,TRI SHAAS SDN BHD (728515-M),13/03/2017,255018,,,4.72,5.0,CASH,0,0.976,0.834,1
X51005587261,X51005587261.jpg,CHOP YEW LIAN,23/03/17,,,,6.0,30.0,CASH,1,0.994,0.877,0
X51005587267,X51005587267.jpg,MYDIN,4/02/2017,261172,,8.0,80.27,8.0,CASH,0,0.979,0.836,1
X51005605284,X51005605284.jpg,ADVANCO COMPANY,23/03/2018,,,0.2,83.0,78.3,CASH,0,0.995,0.793,1
X51005605285,X51005605285.jpg,AEON CO. (M) BHD. (126926-H),22/03/2018,2018032251310415556,,,5.9,5.57,CASH,0,0.978,0.835,1
X51005605286,X51005605286.jpg,AEON CO. (M) BHD (126926-H),09/02/2018,2018020951320023885,,,5.9,5.57,CASH,0,0.996,0.843,1
X51005605287,X51005605287.jpg,AEON CO. (M) BHD (126926-H),14/03/2018,2018031430090060035,,,12.25,11.55,CASH,0,0.995,0.843,1
X51005605295,X51005605295.jpg,ECONSAVE,22/03/18,,5.15,,5.15,5.15,CASH,0,0.97,0.851,1
X51005605332,X51005605332.jpg,POPULAR BOOK,14/03/18,90243,,0.0,7.95,0.0,CASH,0,0.992,0.841,1
X51005605333,X51005605333.jpg,POPULAR BOOK,07/01/18,364810,,9.6,31.47,9.6,CASH,1,0.993,0.927,0
X51005605334,X51005605334.jpg,POPULAR BOOK,29/03/18,121722,,0.0,9.65,0.0,CASH,1,0.993,0.927,0
X51005605335,X51005605335.jpg,POPULAR BOOK,12/01/18,77499,,6.4,20.98,6.4,CASH,1,0.994,0.927,0
X51005621482,X51005621482.jpg,PREMIO,20/03/2018,SS3-154439,,0.0,6.0,6.0,CREDIT CARD,0,0.992,0.841,1
X51005663272,X51005663272.jpg,WAHIN HARDWARE SDN BHD,04/12/17,,42.4,,2.4,42.4,,3,0.987,0.904,0
X51005663273,X51005663273.jpg,SYARIKAT PERNIAGAAN GIN KEE,04/12/2017,,,0.0,45.0,45.0,CASH,0,0.991,0.791,1
X51005663274,X51005663274.jpg,LIM SENG THO HARDWARE TRADING,,,10.5,,10.5,10.5,,1,0.949,0.782,1
X51005663276,X51005663276.jpg,inugqmmm.slie,02/12/2017,,,0.42,0.0,7.42,CASH,0,0.976,0.784,1
X51005663277,X51005663277.jpg,SYARIKAT PERNIAGAAN GIN KEE,02/12/2017,,,0.0,1.68,29.68,CASH,0,0.989,0.79,1
X51005663278,X51005663278.jpg,IKANO HANDEL SDN BHD,23/12/17,411395668,,,73.3,73.3,CASH,3,0.99,0.926,0
X51005663279,X51005663279.jpg,SYARIKAT PERNIAGAAN GIN KEE,28/12/2017,,,0.0,140.0,140.0,CASH,0,0.996,0.793,1
X51005663280,X51005663280.jpg,Chili's,30 Dec 17,,8.78,,96.58,102.4,CASH,1,0.982,0.942,0
X51005663293,X51005663293.jpg,SWEET FOREST CAFE,14-02-2018,,,,28.58,30.3,CASH,1,0.994,0.877,0
X51005663297,X51005663297.jpg,BEYOND BROTHERS HARDWARE,1-0-2,,,0.0,565.5,565.5,CASH,0,0.99,0.791,1
X51005663298,X51005663298.jpg,AL MENDIS-THE MINES,21-03-2018,116455,,,41.3,48.15,CASH,1,0.987,0.924,0
X51005663300,X51005663300.jpg,LIM SENG THO HARDWARE TRADING,,,7.0,,7.0,7.0,,1,0.962,0.788,1
X51005663301,X51005663301.jpg,LIM SENG THO HARDWARE TRADING,,,7.0,,7.0,7.0,,1,0.971,0.792,1
X51005663307,X51005663307.jpg,Tax Invoice,09/02/2018,,56.8,,56.8,56.8,CASH,5,0.979,0.941,0
X51005663309,X51005663309.jpg,KOH SENG HARDWARE,01/02/2018,CS00044964,,,0.3,0.3,CASH,0,0.997,0.844,1
X51005663310,X51005663310.jpg,LIM SENG THO HARDWARE TRADING,,,8.4,,8.4,8.4,,1,0.963,0.788,1
X51005663311,X51005663311.jpg,LIM SENG THO HARDWARE TRADING,,,7.0,,7.0,7.0,,1,0.957,0.786,1
X51005663317,X51005663317.jpg,LIM SENG THO HARDWARÉ TRADING,,,6.0,,,,,0,0.983,0.537,3
X51005663323,X51005663323.jpg,KOHSENG HARDWARE,04/12/2017,CS00042153,,,48.0,48.0,CASH,0,0.996,0.843,1
X51005663324,X51005663324.jpg,SYARIKAT PERNIAGAAN GIN KEE,28/12/2017,,,0.0,439.0,439.0,CASH,0,0.993,0.792,1
X51005675095,X51005675095.jpg,SOLARIS,14/01/2018,,,,6.0,4.0,,0,0.989,0.75,1
X51005675099,X51005675099.jpg,Super Terminal Sdn Bhd,20/01/2018,,,,132.5,132.5,CASH,0,0.983,0.787,1
X51005675103,X51005675103.jpg,SYARIKAT PERNIAGAAN GIN KEE,04/01/2018,,,0.0,94.5,94.5,CASH,0,0.995,0.793,1
X51005675104,X51005675104.jpg,SYARIKAT PERNIAGAAN GIN KEE,25/01/2018,,,0.0,180.0,180.0,CASH,0,0.994,0.793,1
X51005675914,X51005675914.jpg,BEYOND BROTHERS HARDWARE,1-0-2,,,0.0,3.84,64.0,CASH,0,0.978,0.785,1
X51005676534,X51005676534.jpg,SYARIKAT PERNIAGAAN GIN KEE,03/01/2018,,,0.0,68.0,68.0,CASH,0,0.996,0.793,1
X51005676535,X51005676535.jpg,SYARIKAT PERNIAGAAN GIN KEE,30/12/2017,,,0.0,84.0,84.0,CASH,0,0.994,0.792,1
X51005676536,X51005676536.jpg,SYARIKAT PERNIAGAAN GIN KEE,02/01/2018,,,0.0,87.8,87.8,CASH,0,0.991,0.791,1
X51005676537,X51005676537.jpg,SYARIKAT PERNIAGAAN GIN KEE,03/01/2018,,,0.0,89.0,89.0,CASH,0,0.99,0.79,1
X51005676538,X51005676538.jpg,SYARIKAT PERNIAGAAN GIN KEE,04/01/2018,,,0.0,42.2,42.2,CASH,0,0.996,0.793,1
X51005676539,X51005676539.jpg,SYARIKAT PERNIAGAAN GIN KEE,10/01/2018,,,0.0,22.0,22.0,CASH,0,0.993,0.792,1
