file,merchant,date,receipt_number,item_count,subtotal,discount,tax,total,payment_method,confidence,warning_count,warnings
6.JPG,MOMI&TOY'S,26/01/2015,,0,,,,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
6.JPG,MOMI&TOY'S,26/01/2015,,0,,,,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
7.jpg,See back of receipt for your chance,11/13/17,for,3,,,1.15,23.19,DEBIT,1.0,0,
7.jpg,See back of receipt for your chance,11/13/17,for,3,,,1.15,23.19,DEBIT,1.0,0,
8.jpg,COSTCO,,,4,3.52,,89.13,89.13,,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
8.jpg,COSTCO,,,4,3.52,,89.13,89.13,,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
9.jpg,WinCo,09/08/14,,26,121.92,,,121.92,,1.0,1,Extracted item totals do not reconcile with the detected subtotal.
9.jpg,WinCo,09/08/14,,26,121.92,,,121.92,,1.0,1,Extracted item totals do not reconcile with the detected subtotal.
X00016469612.jpg,tan woon yann,25/12/2018,,2,,,,,CASH,1.0,1,Receipt total could not be confidently identified.
X00016469612.jpg,tan woon yann,25/12/2018,,2,,,,,CASH,1.0,1,Receipt total could not be confidently identified.
X00016469619.jpg,tan woon yann,19/10/2018,,4,,,,,CASH,1.0,1,Receipt total could not be confidently identified.
X00016469619.jpg,tan woon yann,19/10/2018,,4,,,,,CASH,1.0,1,Receipt total could not be confidently identified.
X00016469620.jpg,tan woon yann,12-01-19,,4,,,,33.92,CASH,1.0,0,
X00016469620.jpg,tan woon yann,12-01-19,,4,,,,33.92,CASH,1.0,0,
X00016469622.jpg,tan woon yann,25/12/2018,,0,,,80.91,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X00016469622.jpg,tan woon yann,25/12/2018,,0,,,80.91,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X00016469623.jpg,tan woon yann,18-11-18,,5,,,,30.91,CASH,1.0,0,
X00016469623.jpg,tan woon yann,18-11-18,,5,,,,30.91,CASH,1.0,0,
X00016469669.jpg,tan chay yee,09/01/2019,,1,,,,31.0,CASH,1.0,0,
X00016469669.jpg,tan chay yee,09/01/2019,,1,,,,31.0,CASH,1.0,0,
X00016469670.jpg,tan chay yee,15/01/2019,,1,,,193.0,,VISA,1.0,1,Receipt total could not be confidently identified.
X00016469670.jpg,tan chay yee,15/01/2019,,1,,,193.0,,VISA,1.0,1,Receipt total could not be confidently identified.
X00016469671.jpg,tan chay yee,02/01/2019,,2,,,,,VISA,1.0,1,Receipt total could not be confidently identified.
X00016469671.jpg,tan chay yee,02/01/2019,,2,,,,,VISA,1.0,1,Receipt total could not be confidently identified.
X00016469672.jpg,tan chay yee,11/01/2019,,0,,327.0,,0.0,CASH,1.0,1,No purchasable items could be confidently extracted.
X00016469672.jpg,tan chay yee,11/01/2019,,0,,327.0,,0.0,CASH,1.0,1,No purchasable items could be confidently extracted.
X00016469676.jpg,tan chay yee,23-01-2019,,1,20.0,,,,CASH,1.0,1,Receipt total could not be confidently identified.
X00016469676.jpg,tan chay yee,23-01-2019,,1,20.0,,,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005200931.jpg,PERNIAGAAN ZHENG HUI,09/02/2018,,0,,,24.69,,CASH,0.9965284513852681,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005200931.jpg,PERNIAGAAN ZHENG HUI,09/02/2018,,0,,,24.69,,CASH,0.9965284513852681,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005200938.jpg,PERNIAGAAN ZHENG HUI,12/02/2018,,0,106.1,0.0,106.1,,CASH,0.99756395536133,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005200938.jpg,PERNIAGAAN ZHENG HUI,12/02/2018,,0,106.1,0.0,106.1,,CASH,0.99756395536133,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005230605.jpg,PETRON BKT LANJAN SB,01/02/2018,,0,,,4.9,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005230605.jpg,PETRON BKT LANJAN SB,01/02/2018,,0,,,4.9,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005230616.jpg,Gerbang Alaf Restaurants Sdn Bhd,18/01/2018,,0,,,38.9,25.4,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005230616.jpg,Gerbang Alaf Restaurants Sdn Bhd,18/01/2018,,0,,,38.9,25.4,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005230617.jpg,IkL,,,0,,,26.6,11.0,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005230617.jpg,IkL,,,0,,,26.6,11.0,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005230621.jpg,SIN LIANHAP SDN BHD,05/02/2018,,2,7.3,,6.69,,CASH,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005230621.jpg,SIN LIANHAP SDN BHD,05/02/2018,,2,7.3,,6.69,,CASH,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005230648.jpg,CROSS CHANNEL NETWORK SDN. BHD.,29/01/2018,,2,,,6.36,0.36,,1.0,0,
X51005230648.jpg,CROSS CHANNEL NETWORK SDN. BHD.,29/01/2018,,2,,,6.36,0.36,,1.0,0,
X51005230657.jpg,CROSS CHANNEL NETWORK SDN. BHD.,31/12/2017,,5,,,1.8,,,1.0,1,Receipt total could not be confidently identified.
X51005230657.jpg,CROSS CHANNEL NETWORK SDN. BHD.,31/12/2017,,5,,,1.8,,,1.0,1,Receipt total could not be confidently identified.
X51005230659.jpg,SWC ENTERPRISE SDN BHD,08/01/2018,,0,,,,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005230659.jpg,SWC ENTERPRISE SDN BHD,08/01/2018,,0,,,,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005255805.jpg,SAM SAM TRADING CO,29-12-2017,,4,,,13.3,14.1,CASH,1.0,0,
X51005255805.jpg,SAM SAM TRADING CO,29-12-2017,,4,,,13.3,14.1,CASH,1.0,0,
X51005268200.jpg,AIK HUAT HARDWAKE,15/06/2017,CSP0393921,0,,,15.0,15.0,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005268200.jpg,AIK HUAT HARDWAKE,15/06/2017,CSP0393921,0,,,15.0,15.0,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005268262.jpg,HOME MASTER HARDWARE &,22/12/2017,TQM,0,15.9,,15.0,,,0.9994486342592441,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005268262.jpg,HOME MASTER HARDWARE &,22/12/2017,TQM,0,15.9,,15.0,,,0.9994486342592441,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005268275.jpg,LIGHTROOM GALLERY SDN BHD,20/11/2017,,6,263.02,0.0,278.8,,CREDIT,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005268275.jpg,LIGHTROOM GALLERY SDN BHD,20/11/2017,,6,263.02,0.0,278.8,,CREDIT,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005268400.jpg,RESTORAN HASSANBISTRO,2-1-1,,1,15.0,0.0,15.0,15.0,CASH,1.0,0,
X51005268400.jpg,RESTORAN HASSANBISTRO,2-1-1,,1,15.0,0.0,15.0,15.0,CASH,1.0,0,
X51005268408.jpg,99 SPEED MART S/B S19537-X,20-11-17,,4,,,9.61,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005268408.jpg,99 SPEED MART S/B S19537-X,20-11-17,,4,,,9.61,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005268472.jpg,ASIA MART,22/12/2017,,0,,0.0,31.03,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005268472.jpg,ASIA MART,22/12/2017,,0,,0.0,31.03,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005288570.jpg,SECURE PARKING,23.03.18,Number,0,,,0.06,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005288570.jpg,SECURE PARKING,23.03.18,Number,0,,,0.06,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005301659.jpg,HOME MASTER HARDWARE &,22/12/2017,TQM,0,15.9,,15.0,,,0.9994486342592441,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005301659.jpg,HOME MASTER HARDWARE &,22/12/2017,TQM,0,15.9,,15.0,,,0.9994486342592441,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005301661.jpg,LIGHTROOM GALLERY SDN BHD,20/12/2017,,3,68.87,,4.13,,CASH,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005301661.jpg,LIGHTROOM GALLERY SDN BHD,20/12/2017,,3,68.87,,4.13,,CASH,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005301666.jpg,LIGHTROOM GALLERY SDN BHD,20/11/2017,,6,263.02,0.0,278.8,,CREDIT,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005301666.jpg,LIGHTROOM GALLERY SDN BHD,20/11/2017,,6,263.02,0.0,278.8,,CREDIT,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005301667.jpg,LIGHTROOM GALLERY SDN BHD,20/11/2017,,2,,,2.25,,CREDIT,1.0,1,Receipt total could not be confidently identified.
X51005301667.jpg,LIGHTROOM GALLERY SDN BHD,20/11/2017,,2,,,2.25,,CREDIT,1.0,1,Receipt total could not be confidently identified.
X51005303661.jpg,LIGHTROOM GALLERY SDN BHD,20/12/2017,,3,68.87,,4.13,,CASH,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005303661.jpg,LIGHTROOM GALLERY SDN BHD,20/12/2017,,3,68.87,,4.13,,CASH,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005306399.jpg,Shell ISNI PETRO TRADING,18/03/18,,1,,,6.0,86.0,VISA,1.0,0,
X51005306399.jpg,Shell ISNI PETRO TRADING,18/03/18,,1,,,6.0,86.0,VISA,1.0,0,
X51005337867.jpg,SY LEE.,22 Mar 18,,1,25.94,,1.71,30.25,,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
X51005337867.jpg,SY LEE.,22 Mar 18,,1,25.94,,1.71,30.25,,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
X51005337872.jpg,Rsk.,06/03/2018,,6,,0.0,51.42,,,1.0,1,Receipt total could not be confidently identified.
X51005337872.jpg,Rsk.,06/03/2018,,6,,0.0,51.42,,,1.0,1,Receipt total could not be confidently identified.
X51005337877.jpg,7eff Pr,20/03/2018,,8,,10.0,3.0,,,1.0,1,Receipt total could not be confidently identified.
X51005337877.jpg,7eff Pr,20/03/2018,,8,,10.0,3.0,,,1.0,1,Receipt total could not be confidently identified.
X51005361883.jpg,TEO HENG STATIONERY BOOKS,18/01/2018,No,2,,,0.28,4.9,CASH,1.0,0,
X51005361883.jpg,TEO HENG STATIONERY BOOKS,18/01/2018,No,2,,,0.28,4.9,CASH,1.0,0,
X51005361895.jpg,FUYIMINIMARKET,25/01/2018,,1,,,1.0,1.0,CASH,1.0,0,
X51005361895.jpg,FUYIMINIMARKET,25/01/2018,,1,,,1.0,1.0,CASH,1.0,0,
X51005361897.jpg,TEO HENG STATIONERY & BOOKS,17/01/2018,No,2,,,0.01,27.55,CASH,1.0,0,
X51005361897.jpg,TEO HENG STATIONERY & BOOKS,17/01/2018,No,2,,,0.01,27.55,CASH,1.0,0,
X51005361898.jpg,TED HENG STATIONERY & BOOKS,15/01/2018,No,2,,,3.12,55.1,CASH,1.0,0,
X51005361898.jpg,TED HENG STATIONERY & BOOKS,15/01/2018,No,2,,,3.12,55.1,CASH,1.0,0,
X51005361900.jpg,TEO HENG STATIONERY & BOOKS,23/01/2018,No,2,,,0.0,18.0,CASH,1.0,0,
X51005361900.jpg,TEO HENG STATIONERY & BOOKS,23/01/2018,No,2,,,0.0,18.0,CASH,1.0,0,
X51005361906.jpg,TEO HENG STATIONERY & BOOKS,27/01/2018,No,5,,,0.0,27.35,CASH,1.0,0,
X51005361906.jpg,TEO HENG STATIONERY & BOOKS,27/01/2018,No,5,,,0.0,27.35,CASH,1.0,0,
X51005361907.jpg,TED HENG STATIONERY B BOOKS,12/02/2018,No,7,,,8.68,153.35,CASH,1.0,0,
X51005361907.jpg,TED HENG STATIONERY B BOOKS,12/02/2018,No,7,,,8.68,153.35,CASH,1.0,0,
X51005361908.jpg,TEO HENG STATIONERY S BOOKS,15/03/2018,No,1,,,7.2,127.2,CASH,1.0,0,
X51005361908.jpg,TEO HENG STATIONERY S BOOKS,15/03/2018,No,1,,,7.2,127.2,CASH,1.0,0,
X51005361912.jpg,TED HENG STATIONERY & BOOKS,29/01/2018,No,1,,,0.06,1.05,CASH,1.0,0,
X51005361912.jpg,TED HENG STATIONERY & BOOKS,29/01/2018,No,1,,,0.06,1.05,CASH,1.0,0,
X51005361923.jpg,SWC ENTERPRISE SDN BHD,02/01/2018,,0,,,0.24,,CASH,0.9781597907976671,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005361923.jpg,SWC ENTERPRISE SDN BHD,02/01/2018,,0,,,0.24,,CASH,0.9781597907976671,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005361946.jpg,PAID,14-03-18,,3,,,50.0,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005361946.jpg,PAID,14-03-18,,3,,,50.0,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005361950.jpg,99 SPEED MART S/B 519537-X,24-01-18,,1,,,2.5,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005361950.jpg,99 SPEED MART S/B 519537-X,24-01-18,,1,,,2.5,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005365179.jpg,C W KHOO HARDWARE SDN BHD,01-03-18,,2,,,1.2,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005365179.jpg,C W KHOO HARDWARE SDN BHD,01-03-18,,2,,,1.2,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005365187.jpg,F&P PHARMACY,02/03/2018,,1,,0.0,6.0,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005365187.jpg,F&P PHARMACY,02/03/2018,,1,,0.0,6.0,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005433492.jpg,UNIHAKKA INTERNATIONAL SDN BHD,05 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433492.jpg,UNIHAKKA INTERNATIONAL SDN BHD,05 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433494.jpg,AEON CO M BHD 126926-H,06/03/2018,,1,,,75.0,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005433494.jpg,AEON CO M BHD 126926-H,06/03/2018,,1,,,75.0,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005433514.jpg,UNIHAKKA INTERNATIONAL SDN BHD,03 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433514.jpg,UNIHAKKA INTERNATIONAL SDN BHD,03 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433518.jpg,UNIHAKKA INTERNATIONAL SDN BHD,07 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433518.jpg,UNIHAKKA INTERNATIONAL SDN BHD,07 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433522.jpg,UNIHAKKA INTERNATIONAL SDN BHD,10 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433522.jpg,UNIHAKKA INTERNATIONAL SDN BHD,10 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433533.jpg,PERNIAGAAN ZHENG HUI,09/03/2018,CS00084670,0,,,18.81,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005433533.jpg,PERNIAGAAN ZHENG HUI,09/03/2018,CS00084670,0,,,18.81,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005433538.jpg,UNIHAKKA INTERNATIONAL SDN BHD,12 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433538.jpg,UNIHAKKA INTERNATIONAL SDN BHD,12 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433541.jpg,UNIHAKKA INTERNATIONAL SDN BHD,14 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433541.jpg,UNIHAKKA INTERNATIONAL SDN BHD,14 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433543.jpg,UNIHAKKA INTERNATIONAL SDN BHD,13 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433543.jpg,UNIHAKKA INTERNATIONAL SDN BHD,13 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005433548.jpg,PASAR MINI JIN SENG,03/03/18,,3,33.8,,50.0,,CASH,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005433548.jpg,PASAR MINI JIN SENG,03/03/18,,3,33.8,,50.0,,CASH,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005433552.jpg,WARAKUYA PERMAS CITY SDN BHD,10/03/2018,,1,79.6,,3.27,,,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005433552.jpg,WARAKUYA PERMAS CITY SDN BHD,10/03/2018,,1,79.6,,3.27,,,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005433553.jpg,YHM Aeon Tebrau City,11/03/2018,No,4,,,0.74,13.1,CASH,1.0,0,
X51005433553.jpg,YHM Aeon Tebrau City,11/03/2018,No,4,,,0.74,13.1,CASH,1.0,0,
X51005433556.jpg,YHM Aeon Tebrau City,11/03/2018,No,5,49.7,,1.5,49.7,CASH,1.0,0,
X51005433556.jpg,YHM Aeon Tebrau City,11/03/2018,No,5,49.7,,1.5,49.7,CASH,1.0,0,
X51005441398.jpg,BREWERY TAP,30/03/2018,No,4,179.0,,10.74,,,1.0,1,Receipt total could not be confidently identified.
X51005441398.jpg,BREWERY TAP,30/03/2018,No,4,179.0,,10.74,,,1.0,1,Receipt total could not be confidently identified.
X51005441401.jpg,THREE STOOGES,12/03/2018,00012916,4,295.0,,19.47,,,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005441401.jpg,THREE STOOGES,12/03/2018,00012916,4,295.0,,19.47,,,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
X51005441402.jpg,THREE STOOGES,03/03/2018,,0,150.0,,174.9,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005441402.jpg,THREE STOOGES,03/03/2018,,0,150.0,,174.9,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005441407.jpg,Geoventure,5/3/2018,,6,,,5.83,100.0,CASH,1.0,0,
X51005441407.jpg,Geoventure,5/3/2018,,6,,,5.83,100.0,CASH,1.0,0,
X51005441408.jpg,32 PUB & BISTRO own by CNU TRADING,10-03-2018,,0,,,95.0,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005441408.jpg,32 PUB & BISTRO own by CNU TRADING,10-03-2018,,0,,,95.0,,CASH,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005442322.jpg,RESTAURANT,03 Mar 18,With,0,23.1,,269.4,,,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005442322.jpg,RESTAURANT,03 Mar 18,With,0,23.1,,269.4,,,1.0,2,Receipt total could not be confidently identified. | No purchasable items could be confidently extracted.
X51005442327.jpg,UNIHAKKA INTERNATIONAL SDN BHD,18 Mar 2018,,0,,,0.49,8.6,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005442327.jpg,UNIHAKKA INTERNATIONAL SDN BHD,18 Mar 2018,,0,,,0.49,8.6,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005442333.jpg,UNIHAKKA INTERNATIONAL SDN BHD,27 Mar 2018,,0,,,0.39,6.9,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005442333.jpg,UNIHAKKA INTERNATIONAL SDN BHD,27 Mar 2018,,0,,,0.39,6.9,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005442334.jpg,UNIHAKKA INTERNATIONAL SDN BHD,26 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005442334.jpg,UNIHAKKA INTERNATIONAL SDN BHD,26 Mar 2018,,0,,,0.46,8.2,CASH,1.0,1,No purchasable items could be confidently extracted.
X51005442338.jpg,PASAR MINI JIN SENG,18/03/18,,7,28.6,,100.0,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005442338.jpg,PASAR MINI JIN SENG,18/03/18,,7,28.6,,100.0,,CASH,1.0,1,Receipt total could not be confidently identified.
X51005442341.jpg,RESTAURANT SIN DU,09/03/2018,,3,,,,,CASH,1.0,1,Receipt total could not be confidently identified.
